osmid,y,x,street_count,junction,highway,ref,geometry
245646819,18.5147029,73.8566723,3,,,,POINT (73.8566723 18.5147029)
245646821,18.511118,73.8675138,3,,,,POINT (73.8675138 18.511118)
245646825,18.5161515,73.8479629,3,,,,POINT (73.8479629 18.5161515)
245646826,18.5145251,73.8537421,4,,traffic_signals,,POINT (73.8537421 18.5145251)
245646829,18.5163955,73.8418664,3,,,,POINT (73.8418664 18.5163955)
245646838,18.5164029,73.8499846,4,,,,POINT (73.8499846 18.5164029)
245646839,18.5146564,73.854369,3,,,,POINT (73.854369 18.5146564)
245646844,18.5153319,73.8563217,3,,,,POINT (73.8563217 18.5153319)
245646882,18.5156694,73.8562866,4,yes,traffic_signals,,POINT (73.8562866 18.5156694)
245646884,18.5241008,73.7805732,3,,,,POINT (73.7805732 18.5241008)
245646905,18.5190151,73.8431391,4,,,,POINT (73.8431391 18.5190151)
245646915,18.5195278,73.849109,3,,,,POINT (73.849109 18.5195278)
245646921,18.507195,73.7841758,3,,,,POINT (73.7841758 18.507195)
245646943,18.51939,73.8496167,3,,,,POINT (73.8496167 18.51939)
245646958,18.5198374,73.8509404,3,,,,POINT (73.8509404 18.5198374)
245646965,18.518542,73.8562138,4,,traffic_signals,,POINT (73.8562138 18.518542)
245646976,18.5257298,73.7815431,3,,,,POINT (73.7815431 18.5257298)
245646986,18.5211909,73.8467783,3,,,,POINT (73.8467783 18.5211909)
245646995,18.5225231,73.8426955,3,,,,POINT (73.8426955 18.5225231)
245646996,18.5221442,73.8442394,4,,,,POINT (73.8442394 18.5221442)
245647002,18.5262764,73.7886929,2,,,,POINT (73.7886929 18.5262764)
245647013,18.5213468,73.8552841,3,,,,POINT (73.8552841 18.5213468)
245647019,18.5232123,73.8445656,3,,,,POINT (73.8445656 18.5232123)
245647031,18.5184482,73.8834558,3,,,,POINT (73.8834558 18.5184482)
245647035,18.5224016,73.8493691,3,,,,POINT (73.8493691 18.5224016)
245647040,18.52351,73.8439867,3,,,,POINT (73.8439867 18.52351)
245647055,18.5246803,73.8413694,3,,traffic_signals,,POINT (73.8413694 18.5246803)
245647065,18.5242178,73.8438763,3,,,,POINT (73.8438763 18.5242178)
245647082,18.5265988,73.8374386,3,,,,POINT (73.8374386 18.5265988)
245647083,18.5219205,73.8582903,4,,,,POINT (73.8582903 18.5219205)
245647086,18.5214715,73.8774971,3,,traffic_signals,,POINT (73.8774971 18.5214715)
245647101,18.5271272,73.836357,3,,,,POINT (73.836357 18.5271272)
245647102,18.5232017,73.8546219,3,,,,POINT (73.8546219 18.5232017)
245647108,18.527152,73.8359608,3,,,,POINT (73.8359608 18.527152)
245647109,18.5249008,73.8495243,3,,,,POINT (73.8495243 18.5249008)
245647112,18.5216924,73.8970354,3,,,,POINT (73.8970354 18.5216924)
245647115,18.5271562,73.837806,3,,,,POINT (73.837806 18.5271562)
245647135,18.5279634,73.8364808,3,,,,POINT (73.8364808 18.5279634)
245647141,18.5217659,73.8960913,4,,,,POINT (73.8960913 18.5217659)
245647144,18.5233256,73.8582986,3,,,,POINT (73.8582986 18.5233256)
245647152,18.5238605,73.8579348,4,,traffic_signals,,POINT (73.8579348 18.5238605)
245647168,18.525804,73.8531741,4,,traffic_signals,,POINT (73.8531741 18.525804)
245647184,18.5292886,73.8326835,4,,,,POINT (73.8326835 18.5292886)
245647185,18.5264612,73.852555,3,,,,POINT (73.852555 18.5264612)
245647208,18.5272884,73.8511482,3,,,,POINT (73.8511482 18.5272884)
245647209,18.5253902,73.8570872,3,,,,POINT (73.8570872 18.5253902)
245647215,18.5298473,73.8354164,4,,,,POINT (73.8354164 18.5298473)
245647224,18.529697,73.8377588,3,,,,POINT (73.8377588 18.529697)
245647236,18.5261164,73.8566761,3,,,,POINT (73.8566761 18.5261164)
245647238,18.5300307,73.8374077,3,,,,POINT (73.8374077 18.5300307)
245647245,18.5271589,73.8559837,3,,,,POINT (73.8559837 18.5271589)
245647257,18.5231928,73.8875024,3,,,,POINT (73.8875024 18.5231928)
245647261,18.5232763,73.8859905,3,,,,POINT (73.8859905 18.5232763)
245647268,18.5296261,73.8498519,3,,,,POINT (73.8498519 18.5296261)
245647272,18.5317004,73.8287585,3,,,,POINT (73.8287585 18.5317004)
245647278,18.5316994,73.8323574,4,,,,POINT (73.8323574 18.5316994)
245647282,18.5236363,73.8828581,3,,,,POINT (73.8828581 18.5236363)
245647287,18.5280539,73.8575593,3,,,,POINT (73.8575593 18.5280539)
245647290,18.5316744,73.8371669,3,,,,POINT (73.8371669 18.5316744)
245647293,18.5261441,73.8662008,3,,,,POINT (73.8662008 18.5261441)
245647295,18.5240251,73.8816692,3,,,,POINT (73.8816692 18.5240251)
245647299,18.5314359,73.8424741,3,,,,POINT (73.8424741 18.5314359)
245647313,18.5246718,73.8786464,4,,traffic_signals,,POINT (73.8786464 18.5246718)
245647314,18.5250371,73.8935112,3,,,,POINT (73.8935112 18.5250371)
245647317,18.5329732,73.8287796,3,,,,POINT (73.8287796 18.5329732)
245647320,18.5247144,73.8766752,3,,,,POINT (73.8766752 18.5247144)
245647329,18.5279009,73.8633747,4,,traffic_signals,,POINT (73.8633747 18.5279009)
245647338,18.5347276,73.8288651,4,,,,POINT (73.8288651 18.5347276)
245647339,18.5324344,73.8375671,3,,,,POINT (73.8375671 18.5324344)
245647351,18.5265863,73.8970682,3,,,,POINT (73.8970682 18.5265863)
245647393,18.5347119,73.8359435,3,,,,POINT (73.8359435 18.5347119)
245647411,18.5273473,73.8991814,3,,,,POINT (73.8991814 18.5273473)
245647419,18.5274953,73.8994854,3,,,,POINT (73.8994854 18.5274953)
245647427,18.5362745,73.8338317,3,,,,POINT (73.8338317 18.5362745)
245647434,18.5281428,73.8762043,4,,,,POINT (73.8762043 18.5281428)
245647468,18.5298097,73.8632048,3,,traffic_signals,,POINT (73.8632048 18.5298097)
245647471,18.5284928,73.8791792,4,,traffic_signals,,POINT (73.8791792 18.5284928)
245647484,18.538186,73.7845874,3,,,,POINT (73.7845874 18.538186)
245647493,18.5285141,73.879282,4,,traffic_signals,,POINT (73.879282 18.5285141)
